event_id,event_date,effective_trading_date,direction,channel,event_description,selection_reason,source_url,include_high
WEB20260325,2026-03-24,2026-03-25,mixed,internet_narrative,U.S. reported progress toward negotiations while Iran continued missile attacks on Israel.,Simultaneous diplomatic and military surprises materially changed the expected path and duration of the war.,https://www.reuters.com/world/middle-east/iran-war-live-tehran-launches-missiles-israel-after-trump-says-talks-held-2026-03-24/,1
WEB20260413,2026-04-13,2026-04-13,escalation,internet_narrative,Failed peace talks were followed by a U.S. naval blockade of Iranian ports.,"The blockade threatened Iranian exports and drove oil above $100, creating an immediate energy and inflation channel.",https://www.reuters.com/world/china/global-markets-view-europe-2026-04-13/,1
WEB20260417,2026-04-17,2026-04-17,mixed,internet_narrative,Iran said commercial ships would require IRGC approval to transit the Strait of Hormuz.,The announcement changed expectations for shipping access and the terms of any negotiated settlement.,https://www.reuters.com/world/middle-east/ships-crossing-hormuz-need-irgc-ok-unfreezing-assets-part-deal-iran-official-2026-04-17/,1
WEB20260505,2026-05-04,2026-05-05,escalation,internet_narrative,The United States launched a new operation intended to reopen the Strait of Hormuz.,The operation represented the largest military escalation since the earlier ceasefire and directly affected oil-shipping risk.,https://www.reuters.com/world/iran-war-live-tehran-issues-warning-after-trump-offers-us-help-ships-hormuz-2026-05-04/,1
WEB20260526,2026-05-25,2026-05-26,deescalation,internet_narrative,Iran proposed reopening the Strait of Hormuz 30 days after a peace agreement and extending the ceasefire.,The proposal provided new information about the timing of restored oil flows; the event occurred on a U.S. holiday and is assigned to May 26.,https://www.reuters.com/world/middle-east/iran-would-open-strait-hormuz-30-days-after-deal-with-us-end-fighting-nikkei-2026-05-25/,1
WEB20260529,2026-05-29,2026-05-29,deescalation,internet_narrative,The United States and Iran reached terms to extend the ceasefire and permit traffic through Hormuz.,The reported agreement materially reduced near-term military and energy-supply risk.,https://www.reuters.com/world/middle-east/iran-us-trade-air-strikes-after-trump-dismisses-report-hormuz-deal-2026-05-28/,1
WEB20260603,2026-06-03,2026-06-03,mixed,internet_narrative,Israel and Lebanon agreed to implement a ceasefire while U.S.-Iran talks remained stalled and oil rose.,The event altered the regional scope of the conflict while uncertainty about the central U.S.-Iran settlement remained high.,https://www.reuters.com/world/middle-east/hostilities-flare-iran-war-oil-jumps-with-talks-stalemate-2026-06-03/,1
WEB20260609,2026-06-09,2026-06-09,escalation,internet_narrative,The United States launched new strikes after Iran downed a U.S. Apache helicopter near Hormuz.,Direct retaliation threatened the ceasefire and increased the probability of renewed sustained combat.,https://www.reuters.com/world/middle-east/trump-says-us-helicopter-pilots-who-went-down-strait-hormuz-are-fine-2026-06-09/,1
WEB20260615,2026-06-15,2026-06-15,deescalation,internet_narrative,The United States and Iran announced a ceasefire agreement intended to reopen Hormuz.,The agreement was a major de-escalation surprise with direct implications for global oil supply.,https://www.reuters.com/world/asia-pacific/iran-us-agree-halt-war-reopen-hormuz-sending-oil-prices-tumbling-2026-06-15/,1
WEB20260619,2026-06-19,2026-06-22,deescalation,internet_narrative,Israel and Hezbollah agreed to a Lebanon ceasefire after intense regional fighting.,"The agreement reduced the probability that the Iran conflict would continue spreading through Lebanon. June 19 was a U.S. market holiday, so the event is assigned to June 22.",https://www.reuters.com/world/middle-east/israel-steps-up-lebanon-attacks-with-strikes-that-kill-15-2026-06-19/,1
