event_id,event_date,event_time_et,effective_trading_date,event_description,direction,channel,source_url,surprise_reason,market_session,confounding_news,include_high,review_status,notes
WEB20260325,2026-03-24,,2026-03-25,U.S. reported progress toward negotiations while Iran continued missile attacks on Israel.,mixed,internet_narrative_20,https://www.reuters.com/world/middle-east/iran-war-live-tehran-launches-missiles-israel-after-trump-says-talks-held-2026-03-24/,Simultaneous diplomatic and military surprises materially changed the expected path and duration of the war.,close_to_close,internet review completed,1,approved_narrative_20,Independent manually selected 20-day internet-search specification.
WEB20260413,2026-04-13,,2026-04-13,Failed peace talks were followed by a U.S. naval blockade of Iranian ports.,escalation,internet_narrative_20,https://www.reuters.com/world/china/global-markets-view-europe-2026-04-13/,"The blockade threatened Iranian exports and drove oil above $100, creating an immediate energy and inflation channel.",close_to_close,internet review completed,1,approved_narrative_20,Independent manually selected 20-day internet-search specification.
WEB20260417,2026-04-17,,2026-04-17,Iran said commercial ships would require IRGC approval to transit the Strait of Hormuz.,mixed,internet_narrative_20,https://www.reuters.com/world/middle-east/ships-crossing-hormuz-need-irgc-ok-unfreezing-assets-part-deal-iran-official-2026-04-17/,The announcement changed expectations for shipping access and the terms of any negotiated settlement.,close_to_close,internet review completed,1,approved_narrative_20,Independent manually selected 20-day internet-search specification.
WEB20260505,2026-05-04,,2026-05-05,The United States launched a new operation intended to reopen the Strait of Hormuz.,escalation,internet_narrative_20,https://www.reuters.com/world/iran-war-live-tehran-issues-warning-after-trump-offers-us-help-ships-hormuz-2026-05-04/,The operation represented the largest military escalation since the earlier ceasefire and directly affected oil-shipping risk.,close_to_close,internet review completed,0,approved_narrative_20,Independent manually selected 20-day internet-search specification.
WEB20260526,2026-05-25,,2026-05-26,Iran proposed reopening the Strait of Hormuz 30 days after a peace agreement and extending the ceasefire.,deescalation,internet_narrative_20,https://www.reuters.com/world/middle-east/iran-would-open-strait-hormuz-30-days-after-deal-with-us-end-fighting-nikkei-2026-05-25/,The proposal provided new information about the timing of restored oil flows; the event occurred on a U.S. holiday and is assigned to May 26.,close_to_close,internet review completed,0,approved_narrative_20,Independent manually selected 20-day internet-search specification.
WEB20260529,2026-05-29,,2026-05-29,The United States and Iran reached terms to extend the ceasefire and permit traffic through Hormuz.,deescalation,internet_narrative_20,https://www.reuters.com/world/middle-east/iran-us-trade-air-strikes-after-trump-dismisses-report-hormuz-deal-2026-05-28/,The reported agreement materially reduced near-term military and energy-supply risk.,close_to_close,internet review completed,0,approved_narrative_20,Independent manually selected 20-day internet-search specification.
WEB20260603,2026-06-03,,2026-06-03,Israel and Lebanon agreed to implement a ceasefire while U.S.-Iran talks remained stalled and oil rose.,mixed,internet_narrative_20,https://www.reuters.com/world/middle-east/hostilities-flare-iran-war-oil-jumps-with-talks-stalemate-2026-06-03/,The event altered the regional scope of the conflict while uncertainty about the central U.S.-Iran settlement remained high.,close_to_close,internet review completed,1,approved_narrative_20,Independent manually selected 20-day internet-search specification.
WEB20260609,2026-06-09,,2026-06-09,The United States launched new strikes after Iran downed a U.S. Apache helicopter near Hormuz.,escalation,internet_narrative_20,https://www.reuters.com/world/middle-east/trump-says-us-helicopter-pilots-who-went-down-strait-hormuz-are-fine-2026-06-09/,Direct retaliation threatened the ceasefire and increased the probability of renewed sustained combat.,close_to_close,internet review completed,0,approved_narrative_20,Independent manually selected 20-day internet-search specification.
WEB20260615,2026-06-15,,2026-06-15,The United States and Iran announced a ceasefire agreement intended to reopen Hormuz.,deescalation,internet_narrative_20,https://www.reuters.com/world/asia-pacific/iran-us-agree-halt-war-reopen-hormuz-sending-oil-prices-tumbling-2026-06-15/,The agreement was a major de-escalation surprise with direct implications for global oil supply.,close_to_close,internet review completed,1,approved_narrative_20,Independent manually selected 20-day internet-search specification.
WEB20260619,2026-06-19,,2026-06-22,Israel and Hezbollah agreed to a Lebanon ceasefire after intense regional fighting.,deescalation,internet_narrative_20,https://www.reuters.com/world/middle-east/israel-steps-up-lebanon-attacks-with-strikes-that-kill-15-2026-06-19/,The agreement reduced the probability that the Iran conflict would continue spreading through Lebanon.,close_to_close,internet review completed,0,approved_narrative_20,Independent manually selected 20-day internet-search specification. Event occurred on Juneteenth; assigned to the next trading day.
